type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,SP,dd,per_dd,ContractName,BasketID,commision,MarginRequired,Duration
CE,2020-02-01 13:27:00,2020-02-01 13:43:00,52.05,25.8,Long,1,-26.249999999999996,-453.74999999999994,500679.5,Adj,UP,-434.24999999999994,0.08665359961646926,BANKNIFTY3190006FEB20CE,5,60,780.75,0 days 00:16:00
PE,2020-01-30 10:00:00,2020-02-01 14:05:00,43.3,39.5,Long,1,-3.799999999999997,-116.99999999999996,500562.5,Adj,UP,-82.5,0.01647760693217917,BANKNIFTY2900006FEB20PE,5,60,649.5,2 days 04:05:00
PE,2020-01-30 10:00:00,2020-02-01 14:05:00,107.1,113.7,Short,1,-6.6000000000000085,-159.0000000000001,500403.5,Adj,30700,-2517.75,0.5029841428393058,BANKNIFTY2960006FEB20PE,5,60,1606.5,2 days 04:05:00
CE,2020-02-01 13:43:00,2020-02-01 14:41:00,194.4,134.35,Short,1,60.05000000000001,840.7500000000002,501244.25,Adj,30700,-750.7499999999998,0.15002892665618842,BANKNIFTY3070006FEB20CE,5,60,2916.0,0 days 00:58:00
CE,2020-02-01 13:43:00,2020-02-01 14:41:00,65.6,38.3,Long,1,-27.299999999999997,-469.49999999999994,500774.75,Adj,UP,-432.7499999999999,0.08633515496686493,BANKNIFTY3140006FEB20CE,5,60,983.9999999999999,0 days 00:58:00
CE,2020-02-01 14:41:00,2020-02-01 15:00:00,231.7,153.05,Short,1,78.64999999999998,1119.7499999999995,501894.5,Adj,30700,-43.500000000000085,0.008686540205950897,BANKNIFTY3040006FEB20CE,5,60,3475.5,0 days 00:19:00
CE,2020-02-01 14:41:00,2020-02-01 15:00:00,83.6,54.75,Long,1,-28.849999999999994,-492.7499999999999,501401.75,Adj,UP,-440.2499999999999,0.08771763787011014,BANKNIFTY3100006FEB20CE,5,60,1254.0,0 days 00:19:00
PE,2020-02-01 14:05:00,2020-02-04 11:17:00,75.0,8.05,Long,1,-66.95,-1064.25,500337.5,SL,30700,-1025.25,0.2044767494329647,BANKNIFTY2930006FEB20PE,5,60,1125.0,2 days 21:12:00
CE,2020-02-01 15:00:00,2020-02-04 11:17:00,322.3,726.45,Short,1,-404.15000000000003,-6122.250000000001,494215.25,SL,30700,-4215.75,0.8425812576510856,BANKNIFTY3000006FEB20CE,5,60,4834.5,2 days 20:17:00
PE,2020-02-01 14:05:00,2020-02-04 11:17:00,210.95,21.65,Short,1,189.29999999999998,2779.4999999999995,496994.75,SL,30700,-4215.75,0.8530190033593663,BANKNIFTY2990006FEB20PE,5,60,3164.25,2 days 21:12:00
CE,2020-02-01 15:00:00,2020-02-04 11:17:00,101.8,195.0,Long,1,93.2,1338.0,498332.75,SL,30700,-1136.25,0.22862414542608347,BANKNIFTY3070006FEB20CE,5,60,1527.0,2 days 20:17:00
PE,2020-02-06 10:00:00,2020-02-06 11:56:00,34.9,28.0,Long,1,-6.899999999999999,-163.49999999999997,498169.25,Adj,UP,-114.74999999999997,0.02302678280727084,BANKNIFTY3000013FEB20PE,6,60,523.5,0 days 01:56:00
